"Speed","Radius_big","Radius_small","Length","Pressure_1","Pressure_2","Viscosity","Kf_a","Kf_b","Kf_c","","","",""
"19.2","2.0","0.4","1000.0","40.0","20.0","0.001","-5.0","0","20.0","","","",""
"12.8","2.0","1.2","1000.0","40.0","20.0","0.001","-5.0","0","20.0","","","",""
"16.0","2.0","0.9","1000.0","40.0","20.0","0.001","-5.0","0","20.0","","","",""
"14.0","2.0","1.1","1000.0","40.0","20.0","0.001","-5.0","0","20.0","","","",""
"0.0","2.0","2.0","1000.0","40.0","20.0","0.001","-5.0","0","20.0","","","",""
"18.8","2.0","0.5","1000.0","40.0","20.0","0.001","-5.0","0","20.0","","","",""
"137.5","3.0","2.5","100.0","50.0","10.0","0.002","-50.0","0","450.0","","","",""
"305.5","3.0","1.7","100.0","50.0","10.0","0.002","-50.0","0","450.0","","","",""
"0.0","3.0","3.0","100.0","50.0","10.0","0.002","-50.0","0","450.0","","","",""
"450.0","3.0","0.0","100.0","50.0","10.0","0.002","-50.0","0","450.0","","","",""
"250.0","3.0","2.0","100.0","50.0","10.0","0.002","-50.0","0","450.0","","","",""
"337.5","3.0","1.5","100.0","50.0","10.0","0.002","-50.0","0","450.0","","","",""
"29.5","3.0","2.9","100.0","50.0","10.0","0.002","-50.0","0","450.0","","","",""
"425.5","3.0","0.7","100.0","50.0","10.0","0.002","-50.0","0","450.0","","","",""
"0.0","4.0","4.0","2000.0","150.0","120.0","0.003","-1.3","0","20.0","","","",""
"4.7","4.0","3.5","2000.0","150.0","120.0","0.003","-1.3","0","20.0","","","",""
"8.8","4.0","3.0","2000.0","150.0","120.0","0.003","-1.3","0","20.0","","","",""
"12.2","4.0","2.5","2000.0","150.0","120.0","0.003","-1.3","0","20.0","","","",""
"15.0","4.0","2.0","2000.0","150.0","120.0","0.003","-1.3","0","20.0","","","",""
"17.2","4.0","1.5","2000.0","150.0","120.0","0.003","-1.3","0","20.0","","","",""
"18.8","4.0","1.0","2000.0","150.0","120.0","0.003","-1.3","0","20.0","","","",""
"20.0","4.0","0.0","2000.0","150.0","120.0","0.003","-1.3","0","20.0","","","",""
"2610.1","3.7","2.2","77.6","177.6","3.7","0.002","-304.0","0","4062.2","","","",""
"0.4","0.2","0.1","20.5","21.6","13.9","0.005","-18.0","0","0.5","","","",""
"5.3","3.1","1.5","478.8","32.2","20.9","0.008","-0.7","0","6.8","","","",""
"0.8","0.3","0.1","210.0","158.0","67.6","0.008","-13.9","0","0.9","","","",""
"4.1","4.1","3.7","455.8","183.8","168.7","0.005","-1.5","0","25.6","","","",""
"17.4","2.0","1.2","695.9","171.3","15.7","0.008","-6.9","0","27.8","","","",""
"11.8","3.8","3.1","137.3","75.0","66.3","0.007","-2.3","0","33.7","","","",""
"292.0","2.6","1.9","148.2","196.9","108.6","0.001","-101.1","0","672.2","","","",""
"1.1","1.1","0.6","943.0","79.1","40.4","0.008","-1.3","0","1.6","","","",""
"0.1","3.9","3.7","785.1","1.1","0.6","0.005","-0.0","0","0.4","","","",""
"40.8","2.8","1.3","534.7","28.0","15.7","0.001","-6.8","0","52.2","","","",""
"26.5","1.7","0.4","21.2","102.7","95.5","0.008","-10.1","0","27.8","","","",""
"4.6","2.0","1.0","354.1","31.0","19.9","0.005","-1.5","0","6.0","","","",""
"2.3","1.5","1.2","372.2","170.8","140.1","0.005","-4.1","0","8.7","","","",""
"22.3","3.3","0.6","920.5","85.0","21.3","0.008","-2.1","0","23.1","","","",""
"2.0","0.7","0.3","648.7","184.0","77.0","0.009","-4.4","0","2.4","","","",""
"0.4","0.3","0.1","540.6","141.0","51.3","0.005","-7.5","0","0.5","","","",""
"22.3","4.2","1.7","282.9","23.3","12.6","0.006","-1.5","0","26.8","","","",""
"11.5","2.4","1.8","673.9","137.4","96.3","0.003","-4.5","0","25.8","","","",""
"227.0","1.0","0.6","126.2","36.4","9.0","0.000","-326.7","0","341.0","","","",""
"1.1","1.3","0.8","771.0","5.5","2.2","0.001","-0.9","0","1.6","","","",""
"29.1","1.7","0.5","598.4","159.4","22.1","0.006","-10.4","0","31.7","","","",""
"0.4","0.5","0.1","950.6","191.9","181.6","0.001","-1.9","0","0.4","","","",""
"0.0","0.0","0.0","321.0","148.4","67.9","0.001","-79.9","0","0.0","","","",""
"85.1","2.5","1.2","448.2","114.8","36.5","0.002","-18.0","0","113.1","","","",""
"37.1","4.5","0.5","700.8","58.0","43.6","0.003","-1.8","0","37.5","","","",""
"0.9","0.4","0.3","646.3","143.8","14.3","0.006","-8.1","0","1.4","","","",""
"0.3","4.4","0.1","939.3","1.7","1.3","0.007","-0.0","0","0.3","","","",""
"7.0","1.7","1.5","169.6","104.6","69.3","0.004","-13.3","0","36.5","","","",""
"18.9","4.3","4.3","249.3","33.7","15.1","0.000","-64.2","0","1187.9","","","",""
"16.7","1.0","0.3","92.6","96.8","44.7","0.009","-16.2","0","17.8","","","",""
"4.2","1.0","0.4","549.3","166.1","86.1","0.007","-5.0","0","5.2","","","",""
"0.0","0.7","0.7","392.6","3.6","1.3","0.004","-0.4","0","0.2","","","",""
"3160.1","3.5","1.9","1.3","11.2","6.1","0.003","-356.9","0","4477.7","","","",""
